model_year,kms_driven,owner,location,mileage,power,price,new_col,CC,brand_name
2018,13562.0,1,delhi,35.0,19.8,125000,False,350,Royal Enfield Classic 
2019,6500.0,1,chandigarh,35.0,19.8,190000,False,350,Royal Enfield Classic 
2018,32000.0,2,balotra,35.0,25.1,130000,False,200,KTM RC 
2003,15000.0,2,hyderabad,30.0,19.8,160000,False,350,Royal Enfield Thunderbird 
2016,13400.0,1,gurgaon,40.0,19.8,111100,False,350,Royal Enfield Thunderbird 
2016,6605.11895752201,1,delhi,45.0,17.3,48000,True,180,TVS Apache RTR 
2019,95000.0,2,delhi,60.0,16.1,55000,False,160,TVS Apache RTR 
2018,14494.0,1,bangalore,40.0,19.8,148000,False,350,Royal Enfield Thunderbird 
2017,15000.0,1,rajkot,35.0,19.8,133000,False,350,Royal Enfield Classic 
2018,6605.11895752201,1,mumbai,60.0,15.2,55000,True,160,TVS Apache RTR 
2019,95000.0,2,mumbai,60.0,16.1,61000,False,160,TVS Apache RTR 
2017,6605.11895752201,1,mumbai,60.0,15.2,51000,True,160,TVS Apache RTR 
2012,47500.0,1,bangalore,45.0,13.0,35000,False,150,Yamaha FZs 
2016,25000.0,1,rajkot,25.0,19.8,89280,False,350,Royal Enfield Electra 
2017,30971.0,1,mumbai,45.0,14.3,55000,False,150,Bajaj Avenger Street 
2014,25600.0,1,mumbai,40.0,19.0,36312,False,220,Bajaj Avenger 
2013,50000.0,2,jalandhar,40.0,19.8,86000,False,350,Royal Enfield Thunderbird 
2015,24000.0,1,bangalore,35.0,19.8,110000,False,350,Royal Enfield Bullet Electra Twinspark 
2013,25500.0,1,jaipur,45.0,13.0,35000,False,150,Yamaha FZs 
2006,125000.0,1,sonipat,89.0,8.1,9900,False,100,Bajaj CT 
2017,30500.0,1,gurgaon,40.0,19.8,150000,False,350,Royal Enfield Thunderbird 
2020,16804.314654761907,2,delhi,60.0,15.2,56000,True,160,TVS Apache RTR 
2014,15373.75543859649,1,delhi,60.0,15.2,39000,True,160,TVS Apache RTR 
2017,6605.11895752201,1,gurgaon,52.0,15.44,54000,True,160,Honda CB Hornet 
2018,6605.11895752201,1,bangalore,65.0,15.0,70000,True,150,Bajaj Pulsar 
2017,6605.11895752201,1,delhi,60.0,15.2,62000,True,160,TVS Apache RTR 
2015,6605.11895752201,1,delhi,45.0,17.2,52000,True,180,TVS Apache RTR 
2016,8500.0,1,delhi,45.0,13.0,54000,False,150,Yamaha FZs 
2014,40000.0,2,ahmedabad,5.0,8.2,24910,False,100,Hero Passion Pro 
2014,6605.11895752201,1,delhi,65.0,14.85,32500,True,150,Bajaj Pulsar 
2016,15000.0,1,delhi,40.0,19.8,95000,False,350,Royal Enfield Bullet Electra 
2007,6605.11895752201,1,delhi,65.0,14.85,10000,True,150,Bajaj Pulsar 
2018,10143.0,1,delhi,55.0,8.0,41500,False,149.5,Hero Passion Xpro Drum 
2016,16000.0,2,kochi,25.0,26.01,65000,False,500,Royal Enfield Bullet 
2017,14500.0,1,delhi,81.0,8.2,42500,False,100,Hero Splendor Plus 
2016,20000.0,2,bangalore,35.0,19.8,149000,False,350,Royal Enfield Classic 
2018,6605.11895752201,1,bangalore,58.0,13.0,95000,True,150,Yamaha FZ S V 2.0 
2013,6605.11895752201,1,bangalore,60.0,14.0,52000,True,150,Honda CB Trigger 
2017,16000.0,1,bangalore,55.0,9.3,56000,False,110,Hero Splendor iSmart 
2016,20000.0,1,bangalore,55.0,8.2,55000,False,100,Hero Splendor iSmart 
2016,22000.0,1,bangalore,38.0,21.0,75000,False,220,Bajaj Pulsar 
2015,16000.0,1,bangalore,40.0,24.2,79999,False,200,Bajaj Pulsar NS
2017,30500.0,1,kolkata,63.0,14.0,56000,False,150,Suzuki Gixxer 
2018,7259.0,1,delhi,65.0,8.1,22500,False,100,Hero HF Deluxe Eco 
2019,45990.0,1,chittorgarh,75.0,9.0,58000,False,125,Hero Super Splendor 
2019,15500.0,2,bangalore,75.0,9.0,35000,False,125,Hero New Super Splendor 
2018,6605.11895752201,1,mumbai,42.0,23.2,85000,True,200,Bajaj Pulsar NS
2019,600.0,1,ludhiana,28.81,27.0,162000,False,295,Jawa Forty Two 
2017,35364.0,2,mumbai,53.0,19.0,69000,False,220,Bajaj Avenger Street 
2017,2500.0,1,chandigarh,35.0,24.8,150000,False,134.6,UM Renegade Sport S 
2015,6605.11895752201,1,pune,58.0,13.0,60000,True,150,Yamaha FZ S V 2.0 
2017,6605.11895752201,1,mumbai,35.0,24.5,99000,True,200,Bajaj Pulsar RS
2019,6605.11895752201,1,mumbai,10.0,8.2,55000,True,110,Bajaj Platina Alloy ES-
2017,4333.0,1,mumbai,40.0,19.8,130900,False,350,Royal Enfield Thunderbird 
2021,3800.0,1,jind,64.77,14.3,175000,False,125,KTM Duke 
2019,9301.0,1,mumbai,35.0,19.8,175000,False,350,Royal Enfield Classic 
2019,8000.0,1,ludhiana,36.98,19.8,155000,False,350,Royal Enfield Bullet 
2019,11573.0,1,trivandrum,35.42404761904762,19.8,160000,False,350,Royal Enfield Thunderbird X 
2015,35000.0,1,delhi,35.0,19.8,99999,False,350,Royal Enfield Classic 
2013,78000.0,1,noida,25.0,27.2,106683,False,500,Royal Enfield Thunderbird 
2016,18546.0,1,bangalore,63.0,14.0,56430,False,150,Suzuki Gixxer 
2016,25440.0,1,chennai,65.0,17.0,45000,False,180,Bajaj Pulsar 
2018,6605.11895752201,1,delhi,60.0,15.2,51000,True,160,TVS Apache RTR 
2011,6605.11895752201,1,delhi,60.0,15.2,29000,True,160,TVS Apache RTR 
2020,6605.11895752201,1,bangalore,55.0,13.8,77815,True,150,Bajaj Pulsar 
2019,9500.0,1,bangalore,64.01333333333334,17.0,77815,False,180,Bajaj Pulsar 
